Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
509036006667.5,,,0003,0014,0290,ALT OLYMPUS 5 SHOE W Purple/Orange 7.5,EACH,ALT,1,1,S,,U,196573084254
509036006668,,,0003,0014,0290,ALT OLYMPUS 5 SHOE W Purple/Orange 8,EACH,ALT,1,1,S,,U,196573084438
509036006669,,,0003,0014,0290,ALT OLYMPUS 5 SHOE W Purple/Orange 9,EACH,ALT,1,1,S,,U,196573084599
509036006669.5,,,0003,0014,0290,ALT OLYMPUS 5 SHOE W Purple/Orange 9.5,EACH,ALT,1,1,S,,U,196573084766
50903804725S,,,0005,0027,0066,ALT TRAIL GAITER BLACK/GRAY S,EACH,ALT,1,1,S,,U,043619794694
50904002170OS,,,0012,0054,0138,RUM EVERYWHERE TOWEL GEO One Size,EACH,RUM,4,4,S,,U,810025277369
50904002968OS,,,0012,0054,0138,RUM EVERYWHERE TOWEL OCEAN FADE One Size,EACH,RUM,3,3,S,,U,810025274276
50904004717OS,,,0012,0054,0138,RUM EVERYWHERE TOWEL DEEPWATER RAYS One Size,EACH,RUM,6,6,S,,U,810025274238
50904004919OS,,,0012,0054,0138,RUM EVERYWHERE TOWEL POOLSIDE One Size,EACH,RUM,1,1,S,,U,810025277314
50904004965OS,,,0012,0054,0138,RUM EVERYWHERE TOWEL NEWPORT SWELL One Size,EACH,RUM,4,4,S,,U,810025275624
5090410467741,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 41,EACH,SCA,1,1,S,,U,8057963333128
5090410467742,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 42,EACH,SCA,2,2,S,,U,8057963333142
5090410467743,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 43,EACH,SCA,2,2,S,,U,8057963333166
5090410467744,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 44,EACH,SCA,2,2,S,,U,8057963333180
5090410467745,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 45,EACH,SCA,1,1,S,,U,8057963333203
5090410467746,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 46,EACH,SCA,1,1,S,,U,8057963333227
5090410467747,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 47,EACH,SCA,1,1,S,,U,8057963333241
5090410467748,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 48,EACH,SCA,1,1,S,,U,8057963333258
5090410467749,,,0003,0014,0037,SCA MOJITO TRL GTX WL SHOE W22 OCEAN-LIGHT OCEAN 49,EACH,SCA,1,1,S,,U,8057963333265
5090420467841,,,0003,0014,0290,SCA SPIN INFINITY SHOE SPICY ORANGE-RED LAVA 41,EACH,SCA,1,1,S,,U,8057963183587
5090420467842,,,0003,0014,0290,SCA SPIN INFINITY SHOE SPICY ORANGE-RED LAVA 42,EACH,SCA,2,2,S,,U,8057963183600
5090420467843,,,0003,0014,0290,SCA SPIN INFINITY SHOE SPICY ORANGE-RED LAVA 43,EACH,SCA,1,1,S,,U,8057963265191
5090420467844,,,0003,0014,0290,SCA SPIN INFINITY SHOE SPICY ORANGE-RED LAVA 44,EACH,SCA,1,1,S,,U,8057963183648
5090420467845,,,0003,0014,0290,SCA SPIN INFINITY SHOE SPICY ORANGE-RED LAVA 45,EACH,SCA,1,1,S,,U,8057963265238
5090420467846,,,0003,0014,0290,SCA SPIN INFINITY SHOE SPICY ORANGE-RED LAVA 46,EACH,SCA,1,1,S,,U,8057963265252
5090420467847,,,0003,0014,0290,SCA SPIN INFINITY SHOE SPICY ORANGE-RED LAVA 47,EACH,SCA,2,2,S,,U,8057963183709
5090430467942,,,0003,0014,0290,SCA RIBELLE RUN SHOE BLACK-LIME 42,EACH,SCA,1,1,S,,U,8057963144922
5090430467943,,,0003,0014,0290,SCA RIBELLE RUN SHOE BLACK-LIME 43,EACH,SCA,2,2,S,,U,8057963144946
5090430467944,,,0003,0014,0290,SCA RIBELLE RUN SHOE BLACK-LIME 44,EACH,SCA,1,1,S,,U,8057963144960
5090430467945,,,0003,0014,0290,SCA RIBELLE RUN SHOE BLACK-LIME 45,EACH,SCA,2,2,S,,U,8057963243212
5090430467946,,,0003,0014,0290,SCA RIBELLE RUN SHOE BLACK-LIME 46,EACH,SCA,2,2,S,,U,8057963145004
5090430467947,,,0003,0014,0290,SCA RIBELLE RUN SHOE BLACK-LIME 47,EACH,SCA,1,1,S,,U,8057963243250
5090450468136,,,0003,0014,0290,SCA SPIN INFINITY SHOE W ORCHID-PURPLE 36,EACH,SCA,2,2,S,,U,8057963265597
5090450468137,,,0003,0014,0290,SCA SPIN INFINITY SHOE W ORCHID-PURPLE 37,EACH,SCA,2,2,S,,U,8057963184164
